ID,LAST_NAME,FIRST_NAME,ACTIVE,IMAGE_URL,TEAM,OVERALLATTRIBUTE,CLOSESHOT,MIDRANGESHOT,THREEPOINTSHOT,FREETHROW,SHOTIQ,OFFENSIVECONSISTENCY,LAYUP,STANDINGDUNK,DRIVINGDUNK,POSTHOOK,POSTFADE,POSTCONTROL,DRAWFOUL,HANDS,INTERIORDEFENSE,PERIMETERDEFENSE,STEAL,BLOCK,LATERALQUICKNESS,HELPDEFENSEIQ,PASSPERCEPTION,DEFENSIVECONSISTENCY,SPEED,ACCELERATION,STRENGTH,VERTICAL,STAMINA,HUSTLE,OVERALLDURABILITY,PASSACCURACY,BALLHANDLE,SPEEDWITHBALL,PASSIQ,PASSVISION,OFFENSIVEREBOUND,DEFENSIVEREBOUND
1629027,Young,Trae,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png,Atlanta Hawks,89,91.0,80.0,84.0,89.0,90.0,98.0,90.0,25.0,30.0,28.0,60.0,34.0,96.0,80.0,31.0,55.0,43.0,32.0,70.0,58.0,70.0,30.0,84.0,84.0,50.0,78.0,95.0,75.0,86.0,80.0,93.0,84.0,94.0,89.0,37.0,43.0
1627749,Murray,Dejounte,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627749.png,Atlanta Hawks,84,89.0,90.0,79.0,83.0,85.0,95.0,93.0,40.0,75.0,40.0,48.0,49.0,84.0,95.0,53.0,86.0,59.0,40.0,87.0,85.0,89.0,85.0,83.0,83.0,40.0,60.0,90.0,90.0,80.0,85.0,88.0,83.0,84.0,72.0,36.0,62.0
203991,Capela,Clint,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203991.png,Atlanta Hawks,82,80.0,50.0,25.0,58.0,70.0,60.0,79.0,95.0,80.0,71.0,48.0,69.0,74.0,70.0,86.0,53.0,40.0,78.0,60.0,86.0,74.0,85.0,58.0,57.0,85.0,80.0,92.0,97.0,83.0,34.0,48.0,30.0,35.0,29.0,93.0,90.0
1630168,Okongwu,Onyeka,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630168.png,Atlanta Hawks,81,91.0,89.0,60.0,75.0,70.0,75.0,80.0,85.0,80.0,54.0,55.0,57.0,52.0,80.0,79.0,64.0,42.0,84.0,69.0,83.0,65.0,65.0,74.0,74.0,70.0,75.0,88.0,95.0,83.0,51.0,54.0,60.0,50.0,31.0,83.0,83.0
203992,Bogdanovic,Bogdan,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203992.png,Atlanta Hawks,79,94.0,80.0,84.0,82.0,70.0,90.0,79.0,50.0,65.0,62.0,57.0,57.0,59.0,85.0,51.0,63.0,42.0,51.0,75.0,60.0,60.0,50.0,75.0,75.0,63.0,78.0,89.0,67.0,77.0,74.0,79.0,73.0,79.0,52.0,32.0,52.0
1630180,Bey,Saddiq,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630180.png,Atlanta Hawks,78,78.0,65.0,80.0,86.0,90.0,85.0,80.0,45.0,60.0,43.0,42.0,52.0,84.0,84.0,64.0,75.0,46.0,40.0,79.0,77.0,72.0,70.0,63.0,63.0,69.0,70.0,87.0,90.0,81.0,64.0,76.0,57.0,75.0,34.0,46.0,60.0
1630552,Johnson,Jalen,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png,Atlanta Hawks,76,85.0,78.0,72.0,65.0,70.0,70.0,81.0,70.0,65.0,66.0,74.0,69.0,53.0,80.0,66.0,66.0,49.0,67.0,73.0,60.0,57.0,40.0,76.0,76.0,68.0,82.0,85.0,80.0,80.0,68.0,58.0,74.0,69.0,41.0,52.0,85.0
1631100,Griffin,AJ,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631100.png,Atlanta Hawks,76,93.0,86.0,82.0,90.0,70.0,60.0,80.0,60.0,85.0,51.0,52.0,52.0,40.0,80.0,69.0,70.0,46.0,40.0,77.0,69.0,60.0,50.0,84.0,84.0,64.0,87.0,90.0,85.0,80.0,69.0,71.0,79.0,69.0,32.0,38.0,48.0
1628981,Fernando,Bruno,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628981.png,Atlanta Hawks,75,68.0,65.0,42.0,55.0,25.0,25.0,75.0,80.0,78.0,64.0,63.0,65.0,50.0,75.0,64.0,44.0,35.0,88.0,60.0,65.0,62.0,40.0,74.0,74.0,85.0,75.0,85.0,85.0,80.0,52.0,50.0,50.0,65.0,44.0,90.0,81.0
201988,Mills,Patty,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201988.png,Atlanta Hawks,74,64.0,85.0,80.0,90.0,90.0,70.0,79.0,25.0,25.0,25.0,37.0,25.0,50.0,73.0,27.0,65.0,41.0,35.0,72.0,61.0,61.0,40.0,83.0,83.0,51.0,66.0,82.0,70.0,82.0,79.0,86.0,83.0,84.0,53.0,33.0,41.0
