,ID,FULL_NAME,FIRST_NAME,LAST_NAME,ACTIVE,IMAGE_LINK
0,1630639,A.J. Lawson,A.J.,Lawson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png
1,1631260,AJ Green,AJ,Green,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png
2,1631100,AJ Griffin,AJ,Griffin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631100.png
3,203932,Aaron Gordon,Aaron,Gordon,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png
4,1628988,Aaron Holiday,Aaron,Holiday,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png
5,1630174,Aaron Nesmith,Aaron,Nesmith,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png
6,1630598,Aaron Wiggins,Aaron,Wiggins,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png
7,1641766,Adama Sanogo,Adama,Sanogo,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641766.png
8,1629678,Admiral Schofield,Admiral,Schofield,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629678.png
9,201143,Al Horford,Al,Horford,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png
10,202692,Alec Burks,Alec,Burks,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png
11,1630197,Aleksej Pokusevski,Aleksej,Pokusevski,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630197.png
12,1627936,Alex Caruso,Alex,Caruso,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png
13,1641788,Alex Fudge,Alex,Fudge,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641788.png
14,203458,Alex Len,Alex,Len,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203458.png
15,1631214,Alondes Williams,Alondes,Williams,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631214.png
16,1630578,Alperen Sengun,Alperen,Sengun,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png
17,1641735,Amari Bailey,Amari,Bailey,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641735.png
18,1641708,Amen Thompson,Amen,Thompson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641708.png
19,1629599,Amir Coffey,Amir,Coffey,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629599.png
20,203083,Andre Drummond,Andre,Drummond,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png
21,1641748,Andre Jackson Jr.,Andre,Jackson Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641748.png
22,1641847,Andrew Funk,Andrew,Funk,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641847.png
23,1629614,Andrew Nembhard,Andrew,Nembhard,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629614.png
24,203952,Andrew Wiggins,Andrew,Wiggins,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203952.png
25,1629014,Anfernee Simons,Anfernee,Simons,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629014.png
26,1641710,Anthony Black,Anthony,Black,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641710.png
27,203076,Anthony Davis,Anthony,Davis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png
28,1630162,Anthony Edwards,Anthony,Edwards,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png
29,1630264,Anthony Gill,Anthony,Gill,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630264.png
30,1641784,Antoine Davis,Antoine,Davis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641784.png
31,1641848,Armaan Franklin,Armaan,Franklin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641848.png
32,1629717,Armoni Brooks,Armoni,Brooks,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629717.png
33,1641709,Ausar Thompson,Ausar,Thompson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641709.png
34,1630559,Austin Reaves,Austin,Reaves,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630559.png
35,1630245,Ayo Dosunmu,Ayo,Dosunmu,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630245.png
36,1641773,Azuolas Tubelis,Azuolas,Tubelis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641773.png
37,1628389,Bam Adebayo,Bam,Adebayo,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
38,1641767,Ben Sheppard,Ben,Sheppard,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641767.png
39,1627732,Ben Simmons,Ben,Simmons,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627732.png
40,1631097,Bennedict Mathurin,Bennedict,Mathurin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631097.png
41,1641731,Bilal Coulibaly,Bilal,Coulibaly,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641731.png
42,1631104,Blake Wesley,Blake,Wesley,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631104.png
43,1626246,Boban Marjanovic,Boban,Marjanovic,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626246.png
44,1626171,Bobby Portis,Bobby,Portis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626171.png
45,203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203992.png
46,202711,Bojan Bogdanovic,Bojan,Bogdanovic,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202711.png
47,1629626,Bol Bol,Bol,Bol,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629626.png
48,1630538,Bones Hyland,Bones,Hyland,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630538.png
49,203078,Bradley Beal,Bradley,Beal,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203078.png
50,1641764,Brandin Podziemski,Brandin,Podziemski,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641764.png
51,1630527,Brandon Boston Jr.,Brandon,Boston Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630527.png
52,1629634,Brandon Clarke,Brandon,Clarke,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629634.png
53,1627742,Brandon Ingram,Brandon,Ingram,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627742.png
54,1641706,Brandon Miller,Brandon,Miller,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png
55,1630314,Brandon Williams,Brandon,Williams,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630314.png
56,1630296,Braxton Key,Braxton,Key,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630296.png
57,1641729,Brice Sensabaugh,Brice,Sensabaugh,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641729.png
58,1630271,Brodric Thomas,Brodric,Thomas,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630271.png
59,201572,Brook Lopez,Brook,Lopez,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201572.png
60,1628971,Bruce Brown,Bruce,Brown,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628971.png
61,1628981,Bruno Fernando,Bruno,Fernando,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628981.png
62,1631121,Bryce McGowens,Bryce,McGowens,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631121.png
63,1631258,Bryson Williams,Bryson,Williams,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631258.png
64,1631205,Buddy Boeheim,Buddy,Boeheim,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631205.png
65,1627741,Buddy Hield,Buddy,Hield,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627741.png
66,203468,CJ McCollum,CJ,McCollum,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
67,1630595,Cade Cunningham,Cade,Cunningham,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630595.png
68,1631216,Caleb Houstan,Caleb,Houstan,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631216.png
69,1628997,Caleb Martin,Caleb,Martin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628997.png
70,1629629,Cam Reddish,Cam,Reddish,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629629.png
71,1630560,Cam Thomas,Cam,Thomas,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630560.png
72,1641715,Cam Whitmore,Cam,Whitmore,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641715.png
73,1629661,Cameron Johnson,Cameron,Johnson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629661.png
74,1626166,Cameron Payne,Cameron,Payne,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626166.png
75,1627747,Caris LeVert,Caris,LeVert,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627747.png
76,1630637,Carlik Jones,Carlik,Jones,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630637.png
77,1641717,Cason Wallace,Cason,Wallace,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641717.png
78,1626224,Cedi Osman,Cedi,Osman,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626224.png
79,1628435,Chance Comanche,Chance,Comanche,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628435.png
80,1629646,Charles Bassey,Charles,Bassey,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629646.png
81,1641777,Charles Bediako,Charles,Bediako,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641777.png
82,1629718,Charlie Brown Jr.,Charlie,Brown Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629718.png
83,1641914,Chase Audige,Chase,Audige,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641914.png
84,1627767,Cheick Diallo,Cheick,Diallo,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627767.png
85,1631096,Chet Holmgren,Chet,Holmgren,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631096.png
