NAME,TEAM,OVERALLATTRIBUTE,CLOSESHOT,MIDRANGESHOT,THREEPOINTSHOT,FREETHROW,SHOTIQ,OFFENSIVECONSISTENCY,LAYUP,STANDINGDUNK,DRIVINGDUNK,POSTHOOK,POSTFADE,POSTCONTROL,DRAWFOUL,HANDS,INTERIORDEFENSE,PERIMETERDEFENSE,STEAL,BLOCK,LATERALQUICKNESS,HELPDEFENSEIQ,PASSPERCEPTION,DEFENSIVECONSISTENCY,SPEED,ACCELERATION,STRENGTH,VERTICAL,STAMINA,HUSTLE,OVERALLDURABILITY,PASSACCURACY,BALLHANDLE,SPEEDWITHBALL,PASSIQ,PASSVISION,OFFENSIVEREBOUND,DEFENSIVEREBOUND
Trae Young,Atlanta Hawks,89,91.0,80.0,84.0,89.0,90.0,98.0,90.0,25.0,30.0,28.0,60.0,34.0,96.0,80.0,31.0,55.0,43.0,32.0,70.0,58.0,70.0,30.0,84.0,84.0,50.0,78.0,95.0,75.0,86.0,80.0,93.0,84.0,94.0,89.0,37.0,43.0
Dejounte Murray,Atlanta Hawks,84,89.0,90.0,79.0,83.0,85.0,95.0,93.0,40.0,75.0,40.0,48.0,49.0,84.0,95.0,53.0,86.0,59.0,40.0,87.0,85.0,89.0,85.0,83.0,83.0,40.0,60.0,90.0,90.0,80.0,85.0,88.0,83.0,84.0,72.0,36.0,62.0
Clint Capela,Atlanta Hawks,82,80.0,50.0,25.0,58.0,70.0,60.0,79.0,95.0,80.0,71.0,48.0,69.0,74.0,70.0,86.0,53.0,40.0,78.0,60.0,86.0,74.0,85.0,58.0,57.0,85.0,80.0,92.0,97.0,83.0,34.0,48.0,30.0,35.0,29.0,93.0,90.0
Onyeka Okongwu,Atlanta Hawks,81,91.0,89.0,60.0,75.0,70.0,75.0,80.0,85.0,80.0,54.0,55.0,57.0,52.0,80.0,79.0,64.0,42.0,84.0,69.0,83.0,65.0,65.0,74.0,74.0,70.0,75.0,88.0,95.0,83.0,51.0,54.0,60.0,50.0,31.0,83.0,83.0
De’Andre Hunter,Atlanta Hawks,80,91.0,94.0,79.0,82.0,70.0,85.0,74.0,65.0,70.0,51.0,52.0,51.0,65.0,90.0,63.0,83.0,35.0,42.0,85.0,80.0,60.0,80.0,76.0,78.0,65.0,75.0,90.0,80.0,80.0,67.0,70.0,69.0,64.0,31.0,36.0,56.0
Bogdan Bogdanovic,Atlanta Hawks,79,94.0,80.0,84.0,82.0,70.0,90.0,79.0,50.0,65.0,62.0,57.0,57.0,59.0,85.0,51.0,63.0,42.0,51.0,75.0,60.0,60.0,50.0,75.0,75.0,63.0,78.0,89.0,67.0,77.0,74.0,79.0,73.0,79.0,52.0,32.0,52.0
Saddiq Bey,Atlanta Hawks,78,78.0,65.0,80.0,86.0,90.0,85.0,80.0,45.0,60.0,43.0,42.0,52.0,84.0,84.0,64.0,75.0,46.0,40.0,79.0,77.0,72.0,70.0,63.0,63.0,69.0,70.0,87.0,90.0,81.0,64.0,76.0,57.0,75.0,34.0,46.0,60.0
Jalen Johnson,Atlanta Hawks,76,85.0,78.0,72.0,65.0,70.0,70.0,81.0,70.0,65.0,66.0,74.0,69.0,53.0,80.0,66.0,66.0,49.0,67.0,73.0,60.0,57.0,40.0,76.0,76.0,68.0,82.0,85.0,80.0,80.0,68.0,58.0,74.0,69.0,41.0,52.0,85.0
AJ Griffin,Atlanta Hawks,76,93.0,86.0,82.0,90.0,70.0,60.0,80.0,60.0,85.0,51.0,52.0,52.0,40.0,80.0,69.0,70.0,46.0,40.0,77.0,69.0,60.0,50.0,84.0,84.0,64.0,87.0,90.0,85.0,80.0,69.0,71.0,79.0,69.0,32.0,38.0,48.0
Bruno Fernando,Atlanta Hawks,75,68.0,65.0,42.0,55.0,25.0,25.0,75.0,80.0,78.0,64.0,63.0,65.0,50.0,75.0,64.0,44.0,35.0,88.0,60.0,65.0,62.0,40.0,74.0,74.0,85.0,75.0,85.0,85.0,80.0,52.0,50.0,50.0,65.0,44.0,90.0,81.0
Patty Mills,Atlanta Hawks,74,64.0,85.0,80.0,90.0,90.0,70.0,79.0,25.0,25.0,25.0,37.0,25.0,50.0,73.0,27.0,65.0,41.0,35.0,72.0,61.0,61.0,40.0,83.0,83.0,51.0,66.0,82.0,70.0,82.0,79.0,86.0,83.0,84.0,53.0,33.0,41.0
Garrison Mathews,Atlanta Hawks,73,74.0,78.0,78.0,92.0,82.0,80.0,79.0,45.0,55.0,36.0,47.0,48.0,54.0,95.0,42.0,59.0,53.0,40.0,60.0,58.0,52.0,45.0,50.0,50.0,44.0,65.0,89.0,88.0,79.0,71.0,76.0,47.0,82.0,30.0,34.0,48.0
Wesley Matthews,Atlanta Hawks,72,77.0,68.0,77.0,86.0,70.0,30.0,78.0,45.0,50.0,63.0,65.0,65.0,45.0,85.0,38.0,78.0,42.0,53.0,79.0,75.0,79.0,70.0,70.0,75.0,55.0,70.0,85.0,80.0,84.0,72.0,75.0,68.0,77.0,29.0,52.0,47.0
Trent Forrest,Atlanta Hawks,71,89.0,72.0,62.0,85.0,60.0,65.0,83.0,40.0,60.0,59.0,62.0,62.0,72.0,95.0,58.0,60.0,42.0,45.0,70.0,60.0,55.0,40.0,82.0,82.0,59.0,75.0,80.0,80.0,80.0,70.0,76.0,78.0,68.0,62.0,37.0,52.0
Jayson Tatum,Boston Celtics,95,95.0,90.0,87.0,86.0,98.0,98.0,95.0,50.0,89.0,74.0,84.0,83.0,97.0,98.0,81.0,89.0,74.0,75.0,88.0,89.0,90.0,85.0,82.0,82.0,71.0,83.0,95.0,98.0,80.0,78.0,86.0,79.0,84.0,72.0,74.0,82.0
Jaylen Brown,Boston Celtics,89,93.0,92.0,83.0,79.0,98.0,98.0,94.0,40.0,89.0,67.0,69.0,80.0,93.0,95.0,70.0,87.0,74.0,50.0,89.0,86.0,84.0,85.0,79.0,79.0,69.0,84.0,95.0,95.0,82.0,78.0,86.0,76.0,84.0,62.0,43.0,67.0
Kristaps Porzingis,Boston Celtics,86,98.0,83.0,82.0,85.0,98.0,98.0,79.0,90.0,75.0,84.0,88.0,87.0,75.0,98.0,78.0,56.0,41.0,80.0,62.0,82.0,60.0,65.0,66.0,65.0,74.0,78.0,94.0,85.0,77.0,50.0,68.0,56.0,40.0,44.0,57.0,80.0
Malcolm Brogdon,Boston Celtics,83,88.0,97.0,89.0,88.0,80.0,85.0,87.0,40.0,70.0,44.0,45.0,40.0,92.0,92.0,65.0,77.0,40.0,47.0,80.0,77.0,74.0,65.0,77.0,77.0,56.0,72.0,93.0,95.0,84.0,89.0,86.0,77.0,92.0,70.0,37.0,63.0
Robert Williams III,Boston Celtics,83,95.0,69.0,25.0,63.0,70.0,65.0,82.0,90.0,75.0,60.0,50.0,65.0,54.0,75.0,88.0,40.0,38.0,90.0,64.0,88.0,88.0,90.0,71.0,62.0,83.0,75.0,80.0,90.0,81.0,57.0,48.0,38.0,62.0,40.0,91.0,87.0
Derrick White,Boston Celtics,82,93.0,79.0,81.0,88.0,98.0,80.0,74.0,40.0,55.0,35.0,51.0,35.0,83.0,90.0,38.0,82.0,40.0,67.0,82.0,76.0,69.0,65.0,90.0,90.0,46.0,75.0,85.0,78.0,81.0,88.0,86.0,88.0,82.0,68.0,37.0,52.0
Al Horford,Boston Celtics,82,97.0,86.0,87.0,86.0,70.0,65.0,65.0,70.0,65.0,76.0,84.0,83.0,40.0,84.0,82.0,68.0,35.0,66.0,67.0,85.0,78.0,85.0,53.0,48.0,91.0,69.0,95.0,85.0,78.0,79.0,50.0,33.0,84.0,50.0,46.0,69.0
Blake Griffin,Boston Celtics,75,90.0,45.0,78.0,63.0,50.0,40.0,73.0,75.0,75.0,70.0,70.0,70.0,40.0,85.0,73.0,59.0,40.0,51.0,65.0,70.0,40.0,55.0,68.0,71.0,85.0,85.0,95.0,75.0,88.0,75.0,77.0,66.0,74.0,46.0,66.0,75.0
Sam Hauser,Boston Celtics,75,74.0,77.0,85.0,89.0,95.0,80.0,60.0,40.0,60.0,44.0,45.0,45.0,55.0,95.0,48.0,55.0,38.0,55.0,62.0,52.0,44.0,45.0,61.0,61.0,66.0,62.0,85.0,88.0,80.0,50.0,43.0,55.0,60.0,34.0,41.0,61.0
Dalano Banton,Boston Celtics,75,73.0,82.0,74.0,75.0,95.0,80.0,79.0,30.0,65.0,30.0,45.0,48.0,79.0,80.0,40.0,68.0,84.0,79.0,72.0,60.0,62.0,60.0,76.0,76.0,66.0,75.0,80.0,75.0,80.0,78.0,76.0,72.0,79.0,65.0,48.0,58.0
Luke Kornet,Boston Celtics,74,83.0,56.0,70.0,81.0,65.0,60.0,60.0,75.0,60.0,69.0,68.0,69.0,48.0,85.0,74.0,32.0,33.0,86.0,34.0,76.0,54.0,70.0,38.0,37.0,66.0,62.0,85.0,85.0,77.0,50.0,43.0,33.0,60.0,35.0,82.0,63.0
Sviatoslav Mykhailiuk,Boston Celtics,74,86.0,80.0,83.0,88.0,80.0,75.0,74.0,40.0,55.0,42.0,47.0,38.0,49.0,94.0,37.0,55.0,43.0,37.0,67.0,50.0,54.0,30.0,82.0,82.0,54.0,69.0,81.0,65.0,79.0,69.0,64.0,75.0,64.0,63.0,39.0,48.0
Oshae Brissett,Boston Celtics,73,69.0,67.0,74.0,70.0,95.0,75.0,75.0,70.0,75.0,64.0,62.0,59.0,54.0,81.0,57.0,40.0,43.0,50.0,52.0,57.0,50.0,35.0,63.0,67.0,75.0,79.0,85.0,80.0,83.0,47.0,59.0,52.0,54.0,29.0,56.0,67.0
Payton Pritchard,Boston Celtics,73,80.0,82.0,78.0,88.0,85.0,65.0,77.0,25.0,35.0,40.0,46.0,35.0,40.0,75.0,36.0,60.0,40.0,30.0,74.0,60.0,45.0,35.0,75.0,75.0,41.0,66.0,84.0,78.0,81.0,79.0,79.0,75.0,82.0,45.0,47.0,46.0
Mfiondu Kabengele,Boston Celtics,70,70.0,74.0,58.0,76.0,60.0,40.0,68.0,80.0,80.0,54.0,50.0,60.0,40.0,75.0,72.0,58.0,42.0,80.0,57.0,72.0,44.0,50.0,72.0,70.0,75.0,72.0,85.0,80.0,80.0,34.0,54.0,55.0,48.0,36.0,48.0,70.0
JD Davison,Boston Celtics,69,70.0,73.0,71.0,73.0,50.0,50.0,72.0,25.0,85.0,30.0,31.0,38.0,40.0,80.0,25.0,56.0,69.0,61.0,77.0,55.0,54.0,45.0,85.0,85.0,54.0,84.0,88.0,45.0,80.0,72.0,86.0,84.0,75.0,72.0,36.0,55.0
