,ID,TEAM,JERSEY_NUM,POSITION,COUNTRY,AGE,BD_YEAR,BD_MONTH,BD_DAY,EXPERIENCE
0,203999,Denver Nuggets,15.0,Center,Serbia,28.0,1995.0,FEBRUARY,19.0,8
1,203954,Philadelphia 76ers,21.0,Center-Forward,Cameroon,29.0,1994.0,MARCH,16.0,7
2,203507,Milwaukee Bucks,34.0,Forward,Greece,28.0,1994.0,DECEMBER,6.0,10
3,201939,Golden State Warriors,30.0,Guard,USA,35.0,1988.0,MARCH,14.0,14
4,201142,Phoenix Suns,35.0,Forward,USA,35.0,1988.0,SEPTEMBER,29.0,15
5,2544,Los Angeles Lakers,23.0,Forward,USA,38.0,1984.0,DECEMBER,30.0,20
6,1629029,Dallas Mavericks,77.0,Forward-Guard,Slovenia,24.0,1999.0,FEBRUARY,28.0,5
7,1628369,Boston Celtics,0.0,Forward-Guard,USA,25.0,1998.0,MARCH,3.0,6
8,202710,Miami Heat,22.0,Forward,USA,34.0,1989.0,SEPTEMBER,14.0,12
9,1626164,Phoenix Suns,1.0,Guard,USA,26.0,1996.0,OCTOBER,30.0,8
10,203081,Milwaukee Bucks,0.0,Guard,USA,33.0,1990.0,JULY,15.0,11
11,202695,LA Clippers,2.0,Forward,USA,32.0,1991.0,JUNE,29.0,11
12,203076,Los Angeles Lakers,3.0,Forward-Center,USA,30.0,1993.0,MARCH,11.0,11
13,1628983,Oklahoma City Thunder,2.0,Guard,Canada,25.0,1998.0,JULY,12.0,5
14,1628378,Cleveland Cavaliers,45.0,Guard,USA,27.0,1996.0,SEPTEMBER,7.0,6
15,1629630,Memphis Grizzlies,12.0,Guard,USA,24.0,1999.0,AUGUST,10.0,4
16,1629627,New Orleans Pelicans,1.0,Forward,USA,23.0,2000.0,JULY,6.0,3
17,202681,Dallas Mavericks,2.0,Guard,Australia,31.0,1992.0,MARCH,23.0,12
18,1629027,Atlanta Hawks,11.0,Guard,USA,25.0,1998.0,SEPTEMBER,19.0,5
19,1627759,Boston Celtics,7.0,Guard-Forward,USA,26.0,1996.0,OCTOBER,24.0,7
20,201935,Philadelphia 76ers,1.0,Guard,USA,34.0,1989.0,AUGUST,26.0,14
21,202331,LA Clippers,13.0,Forward,USA,33.0,1990.0,MAY,2.0,13
22,1630169,Indiana Pacers,0.0,Guard,USA,23.0,2000.0,FEBRUARY,29.0,3
23,1627750,Denver Nuggets,27.0,Guard,Canada,26.0,1997.0,FEBRUARY,23.0,6
24,1628973,New York Knicks,11.0,Guard,USA,27.0,1996.0,AUGUST,31.0,5
25,1630162,Minnesota Timberwolves,5.0,Guard,USA,22.0,2001.0,AUGUST,5.0,3
26,101108,Golden State Warriors,3.0,Guard,USA,38.0,1985.0,MAY,6.0,18
27,201950,Boston Celtics,4.0,Guard,USA,33.0,1990.0,JUNE,12.0,14
28,1627734,Sacramento Kings,10.0,Forward-Center,Lithuania,27.0,1996.0,MAY,3.0,7
29,1628389,Miami Heat,13,Center-Forward,EUA,26,1997,JULY,18,6
30,1630163,Charlotte Hornets,1.0,Guard,USA,22.0,2001.0,AUGUST,22.0,3
31,1628991,Memphis Grizzlies,13.0,Forward-Center,USA,24.0,1999.0,SEPTEMBER,15.0,5
32,1628969,Brooklyn Nets,1.0,Guard-Forward,USA,27.0,1996.0,AUGUST,30.0,5
33,1629636,Cleveland Cavaliers,10.0,Guard,USA,23.0,2000.0,JANUARY,26.0,4
34,1628374,Utah Jazz,23.0,Forward-Center,Finland,26.0,1997.0,MAY,22.0,6
35,204001,Boston Celtics,8.0,Forward-Center,Latvia,28.0,1995.0,AUGUST,2.0,7
36,203078,Phoenix Suns,3.0,Guard,USA,30.0,1993.0,JUNE,28.0,11
37,203897,Chicago Bulls,8.0,Guard,USA,28.0,1995.0,MARCH,10.0,9
38,201942,Chicago Bulls,11.0,Guard-Forward,USA,34.0,1989.0,AUGUST,7.0,14
39,1627783,Toronto Raptors,43.0,Forward,Cameroon,29.0,1994.0,APRIL,2.0,7
40,202691,Golden State Warriors,11.0,Guard,USA,33.0,1990.0,FEBRUARY,8.0,10
41,1626157,Minnesota Timberwolves,32.0,Center-Forward,USA,27.0,1995.0,NOVEMBER,15.0,8
42,1630178,Philadelphia 76ers,0.0,Guard,USA,22.0,2000.0,NOVEMBER,4.0,3
43,203944,New York Knicks,30.0,Forward-Center,USA,28.0,1994.0,NOVEMBER,29.0,9
44,1630596,Cleveland Cavaliers,4.0,Center,USA,22.0,2001.0,JUNE,18.0,2
45,203114,Milwaukee Bucks,22.0,Forward,USA,32.0,1991.0,AUGUST,12.0,11
46,1627742,New Orleans Pelicans,14.0,Forward,USA,26.0,1997.0,SEPTEMBER,2.0,7
47,1630532,Orlando Magic,22.0,Forward,Germany,22.0,2001.0,AUGUST,27.0,2
48,202696,Chicago Bulls,9.0,Center,Montenegro,32.0,1990.0,OCTOBER,24.0,12
49,203932,Denver Nuggets,50.0,Forward,USA,28.0,1995.0,SEPTEMBER,16.0,9
50,1631094,Orlando Magic,5.0,Forward,USA,20.0,2002.0,NOVEMBER,12.0,1
51,1641705,San Antonio Spurs,1,Forward-Center,France,19,2004,JANUARY,4,Rookie
52,203497,Minnesota Timberwolves,27.0,Center,France,31.0,1992.0,JUNE,26.0,10
53,1630217,Memphis Grizzlies,22.0,Guard,USA,25.0,1998.0,JUNE,25.0,3
54,1630595,Detroit Pistons,2.0,Guard,USA,22.0,2001.0,SEPTEMBER,25.0,2
55,201572,Milwaukee Bucks,11.0,Center,USA,35.0,1988.0,APRIL,1.0,15
56,1627749,Atlanta Hawks,5.0,Guard,USA,27.0,1996.0,SEPTEMBER,19.0,6
57,203110,Golden State Warriors,23.0,Forward,USA,33.0,1990.0,MARCH,4.0,11
58,1627832,Houston Rockets,23.0,Guard,USA,29.0,1994.0,FEBRUARY,25.0,7
59,1631117,Utah Jazz,24.0,Center,USA,22.0,2001.0,JULY,26.0,1
60,1629057,Portland Trail Blazers,44.0,Center-Forward,USA,26.0,1997.0,OCTOBER,17.0,5
61,1630224,Houston Rockets,4.0,Guard,USA,21.0,2002.0,FEBRUARY,9.0,2
62,1628386,Cleveland Cavaliers,31.0,Center,USA,25.0,1998.0,APRIL,21.0,6
63,1628398,Washington Wizards,33.0,Forward,USA,28.0,1995.0,JULY,24.0,6
64,1629028,Portland Trail Blazers,22.0,Center,Bahamas,25.0,1998.0,JULY,23.0,5
65,1629014,Portland Trail Blazers,1.0,Guard,USA,24.0,1999.0,JUNE,8.0,5
66,1627763,Portland Trail Blazers,13.0,Guard,USA,30.0,1992.0,DECEMBER,11.0,7
67,1629008,Denver Nuggets,1.0,Forward,USA,25.0,1998.0,JUNE,29.0,4
68,1630578,Houston Rockets,28.0,Center,Turkey,21.0,2002.0,JULY,25.0,2
69,1629639,Miami Heat,14.0,Guard,USA,23.0,2000.0,JANUARY,20.0,4
70,1630581,Oklahoma City Thunder,3.0,Guard,Australia,21.0,2002.0,OCTOBER,10.0,2
71,1626167,Indiana Pacers,33.0,Center-Forward,USA,27.0,1996.0,MARCH,24.0,8
72,1628970,Charlotte Hornets,0.0,Forward,USA,25.0,1998.0,MARCH,21.0,4
73,202685,New Orleans Pelicans,17.0,Center,Lithuania,31.0,1992.0,MAY,6.0,11
74,1630567,Toronto Raptors,4.0,Forward,USA,22.0,2001.0,AUGUST,1.0,2
75,1626171,Milwaukee Bucks,9.0,Forward,USA,28.0,1995.0,FEBRUARY,10.0,8
76,203991,Atlanta Hawks,15.0,Center,Switzerland,29.0,1994.0,MAY,18.0,9
77,203935,Memphis Grizzlies,36.0,Guard,USA,29.0,1994.0,MARCH,6.0,9
78,202711,Detroit Pistons,44.0,Forward,Croatia,34.0,1989.0,APRIL,18.0,9
79,201143,Boston Celtics,42.0,Center-Forward,Dominican Republic,37.0,1986.0,JUNE,3.0,16
80,1628401,Boston Celtics,9.0,Guard,USA,29.0,1994.0,JULY,2.0,6
81,1630559,Los Angeles Lakers,15.0,Guard,USA,25.0,1998.0,MAY,29.0,2
82,1626174,Los Angeles Lakers,35.0,Forward,USA,28.0,1995.0,SEPTEMBER,27.0,7
83,203952,Golden State Warriors,22.0,Forward,Canada,28.0,1995.0,FEBRUARY,23.0,9
84,1629011,New York Knicks,23.0,Center-Forward,USA,25.0,1998.0,APRIL,1.0,5
85,1630193,New York Knicks,5.0,Guard,USA,24.0,1999.0,JUNE,17.0,3
